,department_Research & Development,department_Sales,educationfield_Life Sciences,educationfield_Marketing,educationfield_Medical,educationfield_Other,educationfield_Technical Degree,gender_Male,jobrole_Human Resources,jobrole_Laboratory Technician,jobrole_Manager,jobrole_Manufacturing Director,jobrole_Research Director,jobrole_Research Scientist,jobrole_Sales Executive,jobrole_Sales Representative,maritalstatus_Married,maritalstatus_Single,education,joblevel,stockoptionlevel,environmentsatisfaction,worklifebalance,jobsatisfaction,jobinvolvement,performancerating,businesstravel,age,distancefromhome,monthlyincome,numcompaniesworked,percentsalaryhike,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,mean_time,attrition
25,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,3,1,0,4,3,4,2,3,1,28,7,96370,1,13,5,6,5,0,2,6,0
26,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,3,3,0,3,3,2,3,3,1,36,5,54050,4,14,10,2,8,7,7,6,0
27,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,1,4,2,2,3,3,2,31,9,46840,1,16,2,4,2,2,2,6,0
28,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,3,0,3,4,2,3,3,2,42,2,29560,5,13,23,2,20,4,8,5,0
29,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,1,2,3,3,3,2,3,1,18,1,23350,1,14,0,3,0,0,0,6,1
30,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,1,0,3,2,2,2,3,1,35,20,51540,0,19,12,2,11,6,9,7,0
31,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,3,2,3,3,4,2,3,2,36,8,69620,4,12,4,2,1,0,0,7,0
32,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,4,3,2,2,3,1,51,2,56750,5,13,13,2,4,1,2,7,0
33,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,4,3,2,3,3,1,41,29,23790,1,12,22,6,22,0,4,6,0
34,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,1,0,4,3,3,3,3,1,18,7,38120,1,15,0,3,0,0,0,6,0
35,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,3,1,2,2,3,1,2,4,1,28,9,46480,0,23,9,2,8,0,7,7,0
36,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,2,2,4,3,3,1,31,8,29360,4,12,10,2,8,7,7,6,0
37,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,3,2,4,3,4,1,39,5,21050,0,20,19,3,18,3,7,7,0
38,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4,1,0,2,3,2,3,4,0,36,5,85780,7,21,11,4,9,0,8,7,0
39,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3,2,1,4,2,3,3,4,1,32,2,27060,1,21,13,4,13,4,8,6,0
40,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,2,1,3,2,2,3,1,38,5,63840,3,19,19,4,10,0,1,6,0
41,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,3,1,3,3,4,2,3,1,31,20,99070,0,13,6,3,5,0,3,8,0
42,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4,2,1,1,3,1,3,4,1,31,7,132250,3,21,9,2,2,1,0,6,0
43,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,3,1,3,3,2,45,3,35400,1,13,24,6,24,9,11,6,0
44,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,2,3,1,4,3,3,1,31,16,28040,0,19,3,0,2,2,2,8,0
45,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,4,1,4,3,2,3,3,2,33,9,193920,6,12,12,3,10,8,8,6,0
46,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,4,4,0,3,3,4,3,3,2,43,7,24390,0,15,9,2,8,1,7,7,0
47,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,3,2,2,3,3,1,52,7,47740,2,18,11,2,8,7,7,7,1
48,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,3,4,3,4,4,3,1,31,24,10810,4,11,13,4,7,1,7,6,0
49,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,2,0,1,2,4,3,3,1,32,7,24720,7,13,10,2,7,0,7,7,0
50,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,4,0,4,3,4,3,3,1,30,13,41970,1,13,11,3,10,1,9,5,0
51,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,3,3,3,2,3,2,31,2,97130,1,17,10,5,10,8,9,6,0
52,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,0,3,3,4,3,3,2,39,19,20620,1,13,21,4,21,13,3,5,0
53,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,4,1,2,2,4,3,3,2,33,4,47880,3,11,9,0,7,0,1,7,0
54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,4,3,3,4,4,1,47,4,59060,4,23,21,4,3,1,1,6,0
55,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,2,3,4,3,3,3,2,43,14,38860,1,17,9,2,9,0,0,5,0
56,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,0,3,3,2,3,3,0,27,2,168230,0,17,6,3,5,1,4,8,0
57,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4,2,2,4,2,3,3,3,2,54,1,29330,3,12,20,2,4,0,3,5,0
58,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,3,2,1,3,4,1,43,7,65000,8,23,10,3,1,0,0,6,0
59,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,4,3,4,3,3,1,45,3,171740,9,14,12,6,10,9,8,6,0
60,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,3,3,2,2,3,4,3,4,1,29,8,25870,0,22,4,3,3,2,2,6,0
61,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,2,2,4,3,3,2,3,1,30,10,55070,1,12,10,2,10,1,2,7,0
62,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,1,1,2,3,2,2,3,1,27,11,43930,1,18,8,2,8,0,7,5,0
63,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,4,2,4,3,3,1,37,1,133480,7,14,8,4,6,0,4,5,0
64,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,3,3,4,3,3,1,38,28,65830,0,12,12,1,11,2,9,8,0
65,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,3,0,4,3,2,3,3,1,29,3,39780,1,11,7,0,7,1,7,8,0
66,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,3,1,3,3,2,4,3,1,35,16,25440,0,13,17,3,16,0,13,7,0
67,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,1,0,3,2,4,2,4,1,23,20,53990,1,23,4,2,4,0,2,6,0
68,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,1,2,3,3,4,3,2,47,1,68340,3,16,5,2,0,0,0,7,0
69,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,1,0,1,3,4,1,4,1,42,3,10910,2,22,16,0,1,0,0,5,0
70,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,4,2,0,4,2,3,2,4,0,29,22,57360,1,22,4,1,4,0,2,5,0
71,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,3,1,3,3,3,2,3,1,42,7,22260,0,12,4,3,3,1,0,8,0
72,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,2,0,3,3,2,3,3,1,32,2,57470,1,13,8,0,8,0,7,7,0
73,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,4,4,1,1,1,3,2,3,1,48,13,98540,3,16,15,2,0,0,0,6,0
74,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,5,3,3,3,3,3,3,1,26,28,51510,1,15,8,3,8,7,7,5,0
75,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,2,1,3,4,3,3,1,42,2,21330,3,13,14,2,1,0,0,5,0
76,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4,0,1,3,2,2,3,2,21,9,178750,1,12,3,5,3,1,2,7,1
77,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,2,0,4,3,4,1,4,0,36,28,24320,4,22,7,4,1,0,0,6,0
78,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,1,1,3,4,3,3,2,36,6,47710,4,13,16,2,13,1,12,6,0
79,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,5,0,4,3,3,1,3,1,57,21,191610,2,18,15,2,3,1,2,5,0
80,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,3,2,1,4,3,3,3,3,1,40,8,50870,3,14,10,3,7,1,7,7,0
81,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,2,0,1,2,4,1,3,0,21,1,28630,1,14,3,2,3,2,2,7,0
82,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,4,0,3,3,1,4,3,1,37,5,21440,6,19,17,3,5,0,3,7,0
83,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,2,0,3,4,3,3,3,0,46,2,30650,2,11,7,3,1,0,0,5,0
84,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,3,2,4,3,2,41,16,28100,1,11,8,3,8,7,7,7,1
85,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,3,0,4,3,4,3,3,1,50,9,98880,6,15,20,2,4,1,3,6,0
86,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,3,3,3,2,4,1,40,8,86280,2,20,8,2,6,1,0,8,1
87,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,1,3,3,2,3,3,1,21,10,53730,1,12,1,2,1,0,0,5,1
88,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,1,4,3,4,4,3,1,29,1,66670,9,12,6,6,3,1,2,7,0
89,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,0,3,3,2,3,3,1,35,29,50030,9,15,10,2,1,0,0,7,0
90,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,1,4,3,2,3,3,1,27,2,23670,0,12,5,2,5,0,4,5,0
91,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,2,3,0,2,3,4,2,3,1,28,2,28580,1,12,7,2,7,0,7,6,0
92,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,3,2,1,2,3,3,3,3,1,49,2,52040,8,14,26,3,5,0,0,7,0
93,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,1,1,3,2,4,3,4,1,51,1,41050,4,22,18,2,7,0,7,6,0
94,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,1,0,4,3,3,3,3,1,36,15,96790,4,12,6,1,2,2,2,5,0
95,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,1,1,1,2,4,3,4,0,34,7,56170,8,25,9,3,5,0,4,8,1
96,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,1,0,3,3,4,3,3,1,55,26,104480,2,13,30,3,5,1,2,8,0
97,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,0,3,3,2,3,3,1,30,3,59680,1,13,1,3,1,0,0,6,0
98,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,2,3,3,3,4,3,3,2,26,14,75100,0,18,7,3,6,0,4,6,1
99,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,5,1,2,1,3,2,2,3,1,22,16,29910,1,19,2,3,2,1,2,5,0
100,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,1,2,3,3,3,3,1,36,1,196360,1,12,10,3,10,9,0,6,0
101,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,3,0,3,3,4,2,3,2,30,3,11290,9,19,3,2,1,0,0,7,1
102,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,4,2,1,3,3,1,37,10,133410,1,14,18,3,18,12,17,6,0
103,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,2,4,3,2,2,3,1,40,6,43320,7,14,8,3,5,1,3,6,0
104,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,1,2,3,1,2,3,1,42,2,110310,3,12,8,2,5,1,2,7,0
105,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,3,2,3,3,1,43,10,46170,1,11,25,2,25,3,9,6,0
106,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,2,3,3,2,3,1,40,6,26470,6,13,20,2,1,0,0,7,0
107,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,1,1,2,1,2,4,1,54,9,63230,4,23,24,2,4,1,2,5,0
108,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,3,1,1,3,3,3,3,4,0,34,28,56770,9,20,6,3,3,1,2,6,0
109,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4,3,1,2,1,1,2,3,1,31,10,21870,1,15,13,2,13,3,12,5,0
110,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,2,4,3,4,2,3,2,43,14,37480,7,14,10,3,3,1,2,6,0
111,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,2,1,3,3,3,3,3,1,43,27,39770,4,18,8,3,5,0,2,8,0
112,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,3,1,4,3,1,3,3,1,31,24,44400,1,13,4,2,4,3,2,6,0
113,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1,1,2,3,3,1,4,2,39,26,30670,1,20,21,5,21,1,6,8,0
114,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,3,0,3,2,1,3,3,2,56,20,53210,9,14,36,1,7,7,7,7,0
115,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,1,2,3,3,3,3,1,30,5,54100,0,17,6,2,5,4,4,7,0
116,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,3,0,2,3,1,2,3,1,41,7,27820,1,14,10,2,10,0,7,6,0
117,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,1,2,3,1,28,7,119570,1,13,10,2,10,1,8,5,0
118,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,0,1,3,1,3,3,1,25,5,26600,5,13,6,3,2,0,2,6,1
119,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,4,3,3,2,4,1,52,26,33750,2,21,28,2,5,0,4,7,0
120,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,1,1,2,4,3,3,1,45,2,50980,3,14,8,4,2,0,2,6,0
121,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,2,1,4,1,4,3,3,1,52,12,48780,2,11,31,3,5,1,4,6,0
122,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,3,3,2,3,2,42,10,28370,2,13,19,0,5,0,2,6,0
123,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,1,1,3,3,4,3,4,1,30,25,24060,2,20,11,5,5,0,2,6,0
124,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,1,1,1,1,3,3,1,60,10,22690,5,18,33,4,29,11,10,5,0
125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,3,2,3,2,3,1,46,19,41080,2,14,19,5,10,0,8,7,0
126,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,4,4,2,4,4,4,3,3,2,42,18,132060,0,13,7,2,6,0,4,6,0
127,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,2,1,4,2,3,3,4,2,34,5,137440,0,20,3,3,2,1,0,5,1
128,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,1,4,3,4,3,3,2,38,3,49070,1,11,1,3,1,0,0,8,0
129,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,1,3,3,3,2,3,1,40,26,34820,0,18,21,2,20,1,12,5,0
130,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,1,4,4,4,1,26,3,24360,1,24,3,2,3,0,2,5,0
131,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,3,3,1,4,2,3,0,30,15,23800,4,18,9,2,5,1,4,7,0
132,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,3,0,2,3,3,3,3,1,29,8,194310,1,11,10,3,10,0,7,6,0
133,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,3,1,3,4,2,2,3,1,29,19,17900,5,16,6,4,2,1,1,6,1
134,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,3,1,2,1,4,4,3,3,1,19,4,76440,1,15,1,2,1,0,0,7,1
135,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,3,1,3,3,1,3,3,0,30,2,51310,0,15,10,2,9,7,8,6,0
136,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,1,1,2,4,3,3,1,57,2,63060,3,12,32,3,1,0,0,5,0
137,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,3,0,2,3,3,3,3,1,50,10,47870,0,12,28,3,27,15,7,7,0
138,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,3,1,3,2,4,3,4,0,30,10,188800,0,22,12,3,11,6,7,6,0
139,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,4,0,3,4,1,3,4,2,60,16,23390,4,20,22,4,18,13,11,6,0
140,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3,5,2,1,3,4,2,3,1,47,1,135700,5,16,20,2,5,0,4,7,0
141,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,3,2,4,1,46,4,67120,6,21,26,3,3,0,1,6,0
142,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1,4,3,3,3,3,1,35,15,54060,0,12,6,2,5,4,3,6,0
143,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,4,2,3,3,3,3,3,3,1,54,2,89380,7,11,19,2,1,0,0,7,0
144,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,2,4,3,3,4,3,1,34,8,24390,3,11,14,2,7,5,7,7,0
145,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,3,3,4,2,3,1,46,2,88370,2,18,15,3,3,1,2,8,0
146,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,2,1,3,4,2,3,3,1,31,7,53430,1,14,13,3,13,0,8,6,0
147,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,4,0,2,4,3,2,4,1,33,10,67280,7,22,15,2,7,7,7,7,1
148,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,2,0,1,3,4,3,4,1,33,5,66520,7,25,8,5,4,1,3,6,1
149,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,1,1,4,3,2,3,3,1,30,2,48500,0,12,4,4,3,1,2,6,0
150,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,4,3,3,1,4,1,35,12,28090,4,23,10,2,8,0,0,8,0
151,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,2,1,3,3,2,3,2,31,22,56890,3,15,12,2,1,0,0,6,1
152,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,3,2,3,3,2,3,2,42,2,29770,4,15,8,3,2,2,0,7,0
153,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,4,1,0,2,2,4,3,3,0,36,3,40250,1,11,10,3,10,9,7,7,0
154,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,2,3,3,3,3,3,2,22,7,37850,5,13,4,2,2,1,2,6,1
155,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,3,1,1,2,3,4,3,3,1,48,6,108540,2,14,14,6,9,6,7,6,0
156,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,1,3,2,3,3,1,55,1,120310,3,11,37,5,10,7,7,6,0
157,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,1,4,3,4,2,3,0,41,3,99360,7,17,16,2,14,1,10,5,0
158,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,2,3,3,2,3,1,35,22,29660,9,18,15,2,11,6,9,5,0
159,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,0,2,3,3,3,3,1,40,15,25710,7,14,22,1,20,5,13,7,0
160,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,3,3,3,3,3,2,39,12,99910,1,16,8,3,8,0,7,6,0
161,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,3,2,2,4,4,2,3,1,31,1,61420,4,13,10,2,6,0,5,8,0
162,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0,4,4,2,3,4,1,45,2,44040,0,23,9,2,8,3,7,6,0
163,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,0,4,4,4,2,3,1,29,5,51300,4,11,8,3,3,1,2,6,0
